has electricity,has radio,has television,has refrigerator,has bicycle,has motorcycle/scooter,has car/truck,number of rooms used for sleeping,line number of head of household,sex of head of household,age of head of household,has telephone (land-line),share toilet with other households,items present: soap or detergent,"items present: ash, mud, sand",items present: none,anything done to water to make safe to drink,water usually treated by: boil,water usually treated by: add bleach/chlorine,water usually treated by: strain through a cloth,water usually treated by: use water filter,water usually treated by: solar disinfection,water usually treated by: let it stand and settle,water usually treated by: other,water usually treated by: don't know,number of households sharing toilet,household has separate room used as kitchen,has mobile telephone,has watch,has animal-drawn cart,has boat with a motor,has a computer,"owns livestock, herds or farm animals"
yes,no,no,no,no,no,no,3,1,male,45,no,yes,,,,no,no,no,no,no,no,no,no,no,3,yes,yes,yes,no,no,yes,no
yes,yes,no,no,no,no,no,1,1,male,44,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,3,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,1,1,male,60,no,yes,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,2,yes,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,male,30,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,43,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,55,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
yes,no,yes,yes,no,no,yes,2,1,male,31,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,yes,3,1,male,47,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,2,no,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,2,1,male,28,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,no,1,1,male,33,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,male,39,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,yes,no
yes,no,yes,yes,no,no,yes,1,1,male,41,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,2,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,3,1,male,36,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,1,1,male,40,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,3,no,yes,no,no,no,no,no
yes,yes,no,yes,no,no,no,3,1,female,64,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,3,1,female,75,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,77,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,4,1,female,60,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
no,no,no,no,no,no,no,3,1,male,55,no,no,,,,no,no,no,no,no,no,no,no,no,,no,no,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,male,65,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,yes
no,no,no,no,no,no,no,2,1,female,79,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,yes
yes,yes,yes,yes,no,no,no,1,1,female,54,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,3,1,female,54,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,no,no,no,no,no,no,2,1,male,57,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,yes,5,1,female,65,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,,no,yes,yes,no,no,yes,yes
yes,yes,yes,yes,no,no,no,3,1,female,45,no,no,,,,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
no,yes,no,no,no,no,no,1,1,female,36,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,,yes,no,no,no,no,no
yes,no,yes,yes,no,no,no,3,1,female,63,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,no,no
yes,yes,yes,yes,no,no,yes,4,1,female,48,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,,no,yes,yes,no,no,yes,no
yes,yes,yes,yes,no,no,no,2,1,male,38,no,no,no,no,yes: no cleansing agent observed,no,no,no,no,no,no,no,no,no,,no,yes,no,no,no,no,no
yes,yes,yes,yes,no,no,no,2,1,female,81,no,no,,,,no,no,no,no,no,no,no,no,no,,,no,yes,no,no,no,no
yes,yes,yes,yes,no,no,no,4,1,male,70,no,no,,,,no,no,no,no,no,no,no,no,no,,,yes,yes,no,no,no,yes
no,no,no,yes,no,no,yes,2,1,male,41,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
no,no,no,no,no,no,no,2,1,male,48,no,no,,,,no,no,no,no,no,no,no,no,no,,yes,yes,no,no,no,no,no
