ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
1,gauteng,urban,poorer,female,41,primary,married,1
2,gauteng,urban,middle,male,60,secondary,married,2
3,gauteng,urban,richest,male,43,secondary,married,2
4,gauteng,urban,richest,female,41,secondary,married,4
5,gauteng,urban,richest,female,15,secondary,never married,1
6,kwazulu-natal,rural,middle,female,77,"no education, preschool",widowed,5
7,kwazulu-natal,rural,middle,female,45,secondary,widowed,3
8,kwazulu-natal,rural,middle,female,36,primary,never married,1
9,kwazulu-natal,rural,middle,male,15,secondary,never married,1
10,kwazulu-natal,rural,poorer,female,60,"no education, preschool",widowed,4
11,kwazulu-natal,rural,poorer,male,20,secondary,never married,2
12,kwazulu-natal,rural,poorer,female,26,secondary,married,1
13,kwazulu-natal,rural,poorer,female,20,secondary,never married,1
14,kwazulu-natal,rural,poorer,male,15,secondary,never married,1
15,kwazulu-natal,rural,poorest,male,55,primary,never married,4
16,kwazulu-natal,rural,poorest,female,47,primary,never married,4
17,kwazulu-natal,rural,poorest,female,79,"no education, preschool",widowed,1
18,kwazulu-natal,rural,poorer,female,54,"no education, preschool",widowed,4
19,kwazulu-natal,rural,richer,female,65,higher,married,3
20,kwazulu-natal,rural,richer,female,39,primary,married,1
21,kwazulu-natal,rural,middle,female,45,higher,divorced/separated,3
22,kwazulu-natal,rural,middle,female,31,secondary,never married,3
23,kwazulu-natal,rural,middle,female,22,secondary,never married,4
24,kwazulu-natal,rural,middle,female,29,secondary,never married,3
25,kwazulu-natal,rural,middle,male,17,secondary,never married,1
26,free state,urban,poorest,female,54,primary,married,1
27,free state,urban,poorest,male,23,primary,never married,2
28,free state,urban,poorest,male,17,secondary,never married,1
29,free state,urban,poorest,male,52,primary,widowed,1
30,free state,urban,poorest,male,41,don't know,married,2
31,free state,urban,poorest,female,42,primary,married,3
32,mpumalanga,rural,poorest,female,57,"no education, preschool",married,4
33,mpumalanga,rural,poorest,female,25,secondary,never married,1
34,mpumalanga,rural,poorest,female,21,secondary,never married,1
35,mpumalanga,rural,poorest,female,43,primary,married,1
36,mpumalanga,rural,poorest,female,26,secondary,never married,3
37,mpumalanga,rural,poorest,male,24,secondary,married,2
38,mpumalanga,rural,poorest,female,17,secondary,married,1
39,mpumalanga,rural,poorest,female,55,secondary,married,1
40,mpumalanga,rural,poorest,female,53,"no education, preschool",never married,3
41,kwazulu-natal,rural,poorest,female,26,secondary,never married,4
42,kwazulu-natal,rural,poorest,male,18,secondary,never married,2
43,kwazulu-natal,rural,poorest,male,70,don't know,married,2
44,kwazulu-natal,rural,poorest,female,65,don't know,married,4
45,kwazulu-natal,rural,poorest,female,35,secondary,never married,3
46,kwazulu-natal,rural,poorest,female,15,secondary,never married,1
47,kwazulu-natal,rural,poorest,male,25,secondary,never married,4
48,kwazulu-natal,rural,poorest,female,75,"no education, preschool",widowed,4
49,kwazulu-natal,rural,poorest,male,77,primary,widowed,4
50,kwazulu-natal,rural,poorest,female,45,primary,never married,3
51,kwazulu-natal,rural,poorer,female,70,primary,widowed,4
52,kwazulu-natal,rural,poorer,male,19,secondary,never married,2
53,gauteng,urban,richest,male,28,secondary,married,2
54,gauteng,urban,richest,male,24,secondary,never married,2
55,gauteng,urban,richest,male,20,secondary,never married,2
56,gauteng,urban,richest,female,24,secondary,married,1
57,gauteng,urban,richest,female,19,secondary,never married,3
58,gauteng,urban,richest,male,55,secondary,married,2
59,gauteng,urban,middle,female,33,secondary,married,1
60,gauteng,urban,richer,female,24,higher,married,1
61,eastern cape,rural,poorer,male,28,secondary,never married,4
62,eastern cape,rural,poorest,male,26,secondary,never married,4
63,eastern cape,rural,poorest,male,23,primary,never married,1
64,eastern cape,rural,middle,male,57,secondary,divorced/separated,2
65,eastern cape,rural,richest,male,62,secondary,married,3
66,eastern cape,rural,richest,female,63,secondary,married,3
67,eastern cape,rural,poorer,male,55,primary,married,5
68,eastern cape,rural,poorer,female,52,primary,married,4
69,free state,urban,middle,female,20,higher,never married,4
70,free state,urban,richest,male,31,secondary,never married,2
71,free state,urban,richer,male,32,secondary,never married,4
72,free state,urban,richer,female,35,secondary,widowed,3
73,eastern cape,urban,richest,male,61,secondary,married,3
74,eastern cape,urban,richest,female,57,higher,married,4
75,eastern cape,urban,richest,female,69,secondary,married,3
76,eastern cape,urban,richest,male,65,higher,married,2
77,eastern cape,urban,richest,female,63,secondary,married,1
78,mpumalanga,rural,poorest,female,24,secondary,never married,1
79,mpumalanga,rural,poorer,female,65,"no education, preschool",never married,3
80,mpumalanga,rural,poorer,female,86,primary,married,4
81,mpumalanga,rural,poorer,female,60,primary,never married,1
82,mpumalanga,rural,poorer,female,21,secondary,never married,1
83,mpumalanga,rural,poorer,male,19,secondary,never married,4
84,mpumalanga,rural,poorer,female,74,"no education, preschool",widowed,4
85,mpumalanga,rural,poorer,male,15,primary,never married,2
86,mpumalanga,rural,middle,female,64,primary,married,3
87,mpumalanga,rural,middle,female,29,secondary,never married,2
88,mpumalanga,rural,poorer,male,32,secondary,never married,2
89,mpumalanga,rural,middle,female,48,"no education, preschool",married,1
90,mpumalanga,rural,middle,female,25,secondary,never married,1
91,mpumalanga,rural,middle,female,21,secondary,never married,1
92,mpumalanga,rural,middle,female,15,primary,never married,1
93,gauteng,urban,poorest,female,27,secondary,married,3
94,gauteng,urban,poorest,female,38,secondary,married,1
95,gauteng,urban,poorest,male,16,secondary,never married,1
96,gauteng,urban,poorest,female,56,"no education, preschool",never married,1
97,gauteng,urban,poorest,female,22,secondary,never married,1
98,gauteng,urban,poorest,female,15,secondary,never married,1
99,gauteng,urban,poorest,female,26,secondary,married,1
100,gauteng,urban,poorest,female,25,secondary,married,1
101,gauteng,urban,poorest,male,44,secondary,married,2
102,gauteng,urban,poorest,female,38,secondary,married,1
103,gauteng,urban,poorest,male,47,primary,married,2
104,gauteng,urban,poorest,female,21,secondary,never married,3
105,eastern cape,rural,poorest,male,76,"no education, preschool",married,1
106,eastern cape,rural,poorest,female,65,"no education, preschool",married,4
107,eastern cape,rural,poorest,female,38,primary,never married,4
108,eastern cape,rural,poorest,male,16,primary,never married,2
109,eastern cape,rural,poorest,male,30,primary,married,2
110,eastern cape,rural,poorest,female,34,secondary,married,1
111,eastern cape,rural,poorest,female,55,"no education, preschool",married,4
112,eastern cape,rural,poorest,female,28,secondary,never married,1
113,eastern cape,rural,poorest,female,66,"no education, preschool",never married,4
114,eastern cape,rural,poorest,female,51,primary,widowed,5
115,eastern cape,rural,poorest,female,25,primary,never married,1
116,eastern cape,rural,poorest,female,29,primary,never married,1
117,eastern cape,rural,poorest,female,67,"no education, preschool",married,4
118,eastern cape,rural,poorest,male,17,primary,never married,2
119,eastern cape,rural,poorest,female,43,primary,married,1
120,eastern cape,rural,poorest,male,45,"no education, preschool",married,2
121,eastern cape,rural,poorest,female,43,"no education, preschool",widowed,3
122,eastern cape,rural,poorest,female,24,secondary,never married,1
123,eastern cape,rural,poorest,female,21,secondary,never married,1
124,eastern cape,rural,poorest,male,17,primary,never married,2
125,eastern cape,rural,poorest,female,17,primary,never married,1
126,eastern cape,rural,poorest,female,59,"no education, preschool",widowed,1
127,eastern cape,rural,poorest,male,27,primary,married,2
128,eastern cape,rural,poorest,female,20,primary,married,1
129,eastern cape,rural,poorest,male,55,"no education, preschool",married,2
130,eastern cape,rural,poorest,female,49,primary,married,4
131,eastern cape,rural,poorest,male,26,primary,never married,4
132,eastern cape,rural,poorest,female,24,secondary,never married,1
133,free state,urban,middle,female,35,secondary,never married,4
134,free state,urban,middle,male,17,secondary,never married,2
135,free state,urban,richer,male,53,secondary,married,2
136,free state,urban,richer,female,46,primary,married,3
137,free state,urban,richer,male,71,secondary,married,1
138,free state,urban,richer,female,65,primary,married,1
139,free state,urban,richer,female,41,secondary,widowed,1
140,free state,urban,richer,female,23,secondary,never married,1
141,free state,urban,richer,female,18,secondary,never married,1
142,free state,urban,richer,male,53,primary,married,2
143,free state,urban,richer,female,46,don't know,married,4
144,free state,urban,richer,female,26,secondary,never married,4
145,free state,urban,richer,female,26,secondary,never married,1
146,free state,urban,richest,male,45,higher,married,2
147,free state,urban,richest,female,42,secondary,married,4
148,free state,urban,richest,female,16,secondary,never married,1
149,north west,urban,richer,female,64,"no education, preschool",widowed,4
150,north west,urban,richer,female,41,secondary,widowed,4
151,north west,urban,richer,female,24,secondary,never married,1
152,north west,urban,richer,female,19,secondary,never married,4
153,north west,urban,richest,female,38,higher,divorced/separated,4
154,north west,urban,richer,male,42,secondary,married,2
155,north west,urban,richer,female,37,secondary,married,1
156,north west,urban,richer,female,43,primary,never married,4
157,north west,urban,richer,female,20,secondary,never married,2
158,north west,urban,richer,female,17,primary,never married,2
159,north west,urban,richer,female,32,secondary,married,3
160,north west,rural,poorer,female,51,secondary,never married,1
161,north west,rural,poorer,female,30,secondary,married,3
162,north west,rural,middle,male,58,secondary,married,2
163,north west,rural,middle,female,40,secondary,married,1
164,north west,rural,middle,male,17,primary,never married,2
165,north west,rural,poorer,female,54,secondary,married,4
166,north west,rural,poorer,male,18,secondary,never married,2
167,north west,rural,middle,male,64,"no education, preschool",married,2
168,north west,rural,middle,male,20,primary,never married,2
169,kwazulu-natal,urban,richer,male,29,secondary,never married,3
170,kwazulu-natal,urban,richest,male,22,secondary,never married,2
171,mpumalanga,urban,richer,female,44,higher,divorced/separated,1
172,mpumalanga,urban,richest,female,41,higher,widowed,1
173,mpumalanga,urban,richest,male,16,secondary,never married,2
174,mpumalanga,urban,richest,female,25,higher,never married,1
175,western cape,urban,richer,female,34,secondary,married,1
176,western cape,urban,richest,male,43,primary,married,2
177,western cape,urban,richest,female,37,secondary,married,1
178,western cape,urban,richer,female,35,secondary,never married,1
179,western cape,urban,richer,male,16,secondary,never married,1
180,western cape,urban,richer,female,32,secondary,never married,3
181,western cape,urban,richer,female,21,secondary,never married,1
182,gauteng,urban,middle,male,49,primary,never married,4
183,gauteng,urban,richest,male,61,secondary,married,2
184,gauteng,urban,richest,female,53,secondary,married,4
185,gauteng,urban,richest,male,25,higher,never married,2
186,gauteng,urban,richest,male,15,secondary,never married,1
187,gauteng,urban,richest,female,45,secondary,never married,3
188,gauteng,urban,richest,male,25,secondary,never married,2
189,gauteng,urban,richer,female,39,secondary,widowed,3
190,gauteng,urban,richer,female,32,secondary,never married,1
191,gauteng,urban,richer,female,19,secondary,never married,1
192,free state,rural,poorest,male,48,primary,married,4
193,free state,urban,richer,male,86,primary,married,4
194,free state,urban,richer,female,33,secondary,married,1
195,free state,urban,richer,male,33,higher,married,2
196,free state,urban,richer,female,15,secondary,never married,1
197,free state,urban,middle,male,63,secondary,married,5
198,free state,urban,middle,female,60,secondary,married,3
199,free state,urban,middle,male,26,secondary,never married,2
200,free state,urban,middle,female,20,secondary,never married,1
201,free state,urban,richer,male,37,secondary,married,2
202,free state,urban,richer,female,31,secondary,married,1
203,free state,urban,richer,female,66,secondary,widowed,4
204,free state,urban,richer,female,39,secondary,never married,1
205,free state,urban,richest,female,40,secondary,married,3
206,free state,urban,richest,male,44,secondary,married,3
207,free state,urban,richest,male,23,"no education, preschool",never married,2
208,free state,urban,richer,male,41,secondary,married,1
209,free state,urban,richer,male,40,secondary,married,2
210,free state,urban,richer,female,38,secondary,married,3
211,free state,urban,richer,male,54,primary,married,3
212,free state,urban,richer,female,69,primary,widowed,1
213,free state,urban,richer,male,21,secondary,never married,2
214,free state,urban,richer,female,19,secondary,never married,1
215,western cape,urban,richest,female,70,primary,never married,4
216,western cape,urban,richest,female,53,primary,never married,4
217,western cape,urban,richer,female,74,"no education, preschool",widowed,4
218,western cape,urban,richer,female,25,secondary,never married,1
219,western cape,urban,richest,female,47,secondary,married,1
220,western cape,urban,richest,male,67,primary,married,4
221,western cape,urban,richest,female,53,secondary,married,3
222,gauteng,urban,poorer,female,38,secondary,married,3
223,gauteng,urban,richer,male,33,primary,married,2
224,gauteng,urban,poorest,male,35,primary,never married,4
225,gauteng,urban,richest,male,42,secondary,married,4
226,gauteng,urban,poorer,male,30,secondary,married,2
227,gauteng,urban,poorer,female,29,secondary,married,1
228,gauteng,urban,richer,male,39,secondary,never married,2
229,gauteng,urban,richer,male,35,higher,never married,4
230,mpumalanga,rural,poorer,female,48,primary,married,4
231,mpumalanga,rural,middle,female,62,secondary,widowed,1
232,mpumalanga,rural,middle,female,16,primary,never married,1
233,mpumalanga,rural,middle,female,15,primary,never married,1
234,mpumalanga,rural,middle,male,55,primary,never married,2
235,mpumalanga,rural,richer,male,66,"no education, preschool",married,3
236,mpumalanga,rural,richer,female,64,primary,married,4
237,north west,urban,richest,female,56,higher,divorced/separated,3
238,north west,urban,richest,female,29,secondary,never married,1
239,north west,urban,richest,female,25,secondary,never married,1
240,north west,urban,richest,female,24,secondary,never married,2
241,north west,urban,richest,male,41,secondary,married,2
242,north west,urban,richest,female,36,secondary,married,3
243,north west,urban,richest,male,16,secondary,never married,2
244,north west,urban,richest,female,77,secondary,married,4
245,north west,urban,middle,female,86,secondary,widowed,1
246,northern cape,urban,richer,female,44,"no education, preschool",married,4
247,northern cape,urban,richer,female,51,primary,married,4
248,kwazulu-natal,rural,poorest,female,32,primary,never married,1
249,kwazulu-natal,rural,poorest,male,16,secondary,never married,1
250,kwazulu-natal,rural,poorest,male,79,"no education, preschool",married,2
251,kwazulu-natal,rural,poorest,female,66,"no education, preschool",married,1
252,kwazulu-natal,rural,poorest,female,24,primary,never married,1
253,kwazulu-natal,rural,poorest,male,18,primary,never married,1
254,kwazulu-natal,rural,poorest,male,17,primary,never married,2
255,kwazulu-natal,rural,poorest,male,17,primary,never married,2
256,kwazulu-natal,rural,poorest,male,80,"no education, preschool",married,2
257,kwazulu-natal,rural,poorest,female,85,"no education, preschool",married,1
258,kwazulu-natal,rural,poorest,female,27,primary,never married,3
259,kwazulu-natal,rural,poorest,female,21,secondary,never married,1
260,kwazulu-natal,rural,poorest,male,16,secondary,never married,1
261,kwazulu-natal,rural,poorest,male,16,primary,never married,1
262,kwazulu-natal,rural,poorest,male,56,"no education, preschool",married,4
263,kwazulu-natal,rural,poorest,female,26,secondary,never married,1
264,kwazulu-natal,rural,poorest,female,21,secondary,never married,2
265,kwazulu-natal,rural,poorest,female,19,secondary,never married,1
266,kwazulu-natal,rural,poorest,male,17,primary,never married,2
267,kwazulu-natal,rural,poorest,male,15,primary,never married,2
268,kwazulu-natal,rural,poorest,female,56,"no education, preschool",widowed,4
269,kwazulu-natal,rural,poorest,male,22,primary,never married,2
270,kwazulu-natal,rural,poorest,female,21,secondary,never married,1
271,kwazulu-natal,rural,poorest,female,15,secondary,never married,1
272,kwazulu-natal,rural,poorest,female,26,secondary,married,1
273,kwazulu-natal,rural,poorest,female,54,"no education, preschool",never married,4
274,kwazulu-natal,rural,poorest,female,28,secondary,never married,2
275,kwazulu-natal,rural,poorest,female,16,primary,never married,1
276,kwazulu-natal,rural,poorest,male,31,secondary,never married,2
277,western cape,urban,poorer,female,41,secondary,widowed,3
278,western cape,urban,middle,female,21,secondary,never married,1
279,western cape,urban,middle,female,18,secondary,never married,1
280,kwazulu-natal,urban,poorer,male,31,primary,married,2
281,kwazulu-natal,urban,poorer,female,25,secondary,never married,2
282,kwazulu-natal,urban,poorer,male,16,secondary,never married,2
283,kwazulu-natal,urban,poorer,female,55,don't know,never married,4
284,kwazulu-natal,urban,middle,female,39,secondary,never married,1
285,kwazulu-natal,urban,middle,male,16,secondary,never married,1
286,kwazulu-natal,urban,richer,female,35,secondary,married,3
287,kwazulu-natal,urban,poorer,male,30,secondary,never married,1
288,kwazulu-natal,urban,poorer,male,23,secondary,never married,2
289,kwazulu-natal,urban,poorer,male,20,secondary,never married,2
290,kwazulu-natal,urban,poorer,female,31,higher,never married,3
291,kwazulu-natal,urban,poorest,female,34,secondary,never married,3
292,kwazulu-natal,urban,poorest,female,35,primary,never married,3
293,kwazulu-natal,urban,poorest,female,27,primary,never married,1
294,kwazulu-natal,urban,poorest,male,27,secondary,never married,2
295,kwazulu-natal,urban,middle,female,31,secondary,married,1
296,kwazulu-natal,urban,middle,female,19,secondary,never married,1
297,northern cape,rural,poorest,female,33,secondary,never married,1
298,northern cape,rural,poorest,female,24,secondary,never married,1
299,northern cape,rural,poorer,female,43,secondary,married,3
300,northern cape,rural,middle,male,45,secondary,married,4
301,northern cape,rural,middle,female,67,primary,widowed,4
302,northern cape,rural,middle,female,36,secondary,never married,4
303,northern cape,rural,middle,male,49,primary,married,2
304,northern cape,rural,middle,female,45,secondary,married,1
305,northern cape,rural,middle,male,19,secondary,never married,2
306,northern cape,rural,poorer,female,41,primary,never married,4
307,northern cape,rural,poorer,male,21,primary,never married,2
308,northern cape,rural,poorest,female,34,secondary,married,4
309,western cape,urban,middle,female,36,secondary,divorced/separated,1
310,western cape,urban,richer,female,45,secondary,divorced/separated,1
311,western cape,urban,richer,female,16,secondary,never married,1
312,western cape,urban,richer,female,33,secondary,married,4
313,western cape,urban,richer,female,25,secondary,married,3
314,western cape,urban,richer,male,69,primary,divorced/separated,4
315,western cape,urban,richer,female,46,secondary,never married,1
316,free state,urban,richer,female,54,primary,married,1
317,free state,urban,richer,female,23,secondary,never married,1
318,free state,urban,richer,female,17,secondary,never married,1
319,free state,urban,richer,male,70,primary,widowed,3
320,free state,urban,middle,male,40,secondary,divorced/separated,1
321,free state,urban,richer,male,37,secondary,married,3
322,free state,urban,richer,female,35,higher,married,1
323,free state,urban,middle,male,27,secondary,never married,2
324,free state,urban,richer,female,60,secondary,widowed,4
325,free state,urban,richer,female,80,secondary,widowed,3
326,free state,urban,richer,female,38,secondary,never married,3
327,free state,urban,richer,male,15,primary,never married,1
328,free state,urban,richest,female,78,"no education, preschool",widowed,2
329,free state,urban,richest,male,49,primary,never married,1
330,free state,urban,richest,male,27,higher,never married,2
